id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,teamName
2729187229,8,61,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,83.6,6.8,2024-10-01T19:01:08.075Z,2024-10-02T05:48:48Z,5260593435,178,,5259506891,56,Right,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729187259,3,83,1,0,19,5fd9f9bti2cdgb6r1lf8l2bc7,0,17.4,95.7,2024-10-01T19:01:10.156Z,2024-10-02T05:49:01Z,5259507605,399,cscn06kwqfzo09h0dc5ybt1pl,,,,,,,,,,,,,,,,,,,,,,7aljb5yzbz7i7fe4jw39ld7xm,E. Colley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729187307,4,83,1,0,21,5fd9f9bti2cdgb6r1lf8l2bc7,0,9.9,96.5,2024-10-01T19:01:11.646Z,2024-10-02T05:49:13Z,5259507541,399,cscn06kwqfzo09h0dc5ybt1pl,,,,,,,,,,,,,,,,,,,,,,dzh403ofb9zatvornq0svb0gk,J. Hadjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729187333,9,61,1,0,21,agh9ifb2mw3ivjusgedj7c3fe,0,79.4,3.8,2024-10-01T19:01:12.157Z,2024-10-02T05:49:20Z,5259507459,56,Right,5260593627,178,,,,,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729187547,5,5,1,0,22,5fd9f9bti2cdgb6r1lf8l2bc7,1,18.4,101.4,2024-10-01T19:01:12.937Z,2024-10-02T05:49:23Z,5259508565,347,,5259508563,56,Back,5259508619,233,10,,,,,,,,,,,,,,,,dzh403ofb9zatvornq0svb0gk,J. Hadjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729187357,10,5,1,0,22,agh9ifb2mw3ivjusgedj7c3fe,0,81.6,-1.4,2024-10-01T19:01:12.937Z,2024-10-02T05:49:23Z,5259507587,56,Right,5259507591,347,,5259508655,233,5,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729187593,6,1,1,0,29,5fd9f9bti2cdgb6r1lf8l2bc7,1,14.5,100,2024-10-01T19:01:20.108Z,2024-10-02T05:49:28Z,5259508799,107,,5259508807,212,10.3,5259508801,56,Back,5259508803,140,20.4,5259508805,141,89.3,5259508809,213,5.36,,,,,,,dzh403ofb9zatvornq0svb0gk,J. Hadjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729187659,7,1,1,0,30,5fd9f9bti2cdgb6r1lf8l2bc7,0,20.5,87.3,2024-10-01T19:01:21.028Z,2024-10-02T05:49:32Z,5259509171,56,Back,5259509177,212,6.1,5259509173,140,15.2,5259509175,141,91,5260593707,178,,5259509179,213,2.72,,,,,,,94md3wf5xab5mnj5niiwq33zd,F. Ugrinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729263665,484,61,1,0,30,agh9ifb2mw3ivjusgedj7c3fe,1,83.6,5.3,2024-10-01T19:01:21.409Z,2024-10-02T05:49:36Z,5260593727,178,,5259930777,56,Right,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729187685,8,1,1,0,33,5fd9f9bti2cdgb6r1lf8l2bc7,1,4.2,96.2,2024-10-01T19:01:23.670Z,2024-10-02T05:49:43Z,5260593789,178,,5259509325,141,95.9,5259509323,140,12.6,5259509319,56,Back,5259509329,212,8.8,5259509333,213,6.26,,,,,,,ckcjk3zjpix288d6zihltlst0,T. Zoukrou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
