id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,teamName
2752195155,4,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,1,5,37,2024-11-26T20:00:51.903Z,2024-11-27T02:14:08Z,5385181851,141,90.5,5385181855,213,1.08,5385181861,237,,5385181857,1,,5385509385,189,,5385181845,124,,5385181847,56,Back,5385181853,212,41.3,4mxx1oxkiexm0ha34utcmb17t,Inaki Pena,5385181849,140,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195171,5,1,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,0,22.9,90.6,2024-11-26T20:00:56.273Z,2024-11-27T02:14:24Z,5385183881,236,,5385181939,140,24.8,5385183883,233,8,5386000791,178,,5385181937,56,Back,5385183887,286,,5385181943,212,2,5385181941,141,90.9,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,5385181945,213,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195277,8,74,1,0,17,3adj8hkws0z1al232bg2h6tk0,1,71.8,6.4,2024-11-26T20:00:56.300Z,2024-11-27T02:14:19Z,5385183905,233,5,5386000891,178,,5385182539,56,Right,5385182541,285,,,,,,,,,,,,,,36yupk7p1vks4dbguw53xhucp,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752195309,6,5,1,0,20,agh9ifb2mw3ivjusgedj7c3fe,1,28,102,2024-11-26T20:00:58.888Z,2024-11-27T02:14:26Z,5385182683,347,,5385182709,233,9,5385182681,56,Back,,,,,,,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195295,9,5,1,0,20,3adj8hkws0z1al232bg2h6tk0,0,72,-2,2024-11-26T20:00:58.888Z,2024-11-27T02:14:26Z,5385182603,56,Right,5385182747,233,6,5385182609,347,,,,,,,,,,,,,,,,,36yupk7p1vks4dbguw53xhucp,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752195345,7,1,1,0,24,agh9ifb2mw3ivjusgedj7c3fe,1,27.4,100,2024-11-26T20:01:03.328Z,2024-11-27T02:14:33Z,5385182905,212,18.4,5385508967,189,,5385182897,107,,5385182907,213,3.89,5385182901,140,14.6,5385182899,56,Back,5385182903,141,83.5,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752254961,563,1,1,0,26,agh9ifb2mw3ivjusgedj7c3fe,1,15.5,84.4,2024-11-26T20:01:05.774Z,2024-11-27T02:14:36Z,5385510475,213,4.43,5385510467,56,Back,5385510469,140,9.1,5385510471,141,50.9,5385510473,212,23.8,5386001107,178,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195413,8,43,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-26T20:01:06.446Z,2024-11-26T20:55:56Z,5385183263,212,23.5,5385508947,144,1,5385183261,141,49.9,5385183257,56,Back,5385183259,140,9.2,5385183265,213,4.47,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195543,9,1,1,0,30,agh9ifb2mw3ivjusgedj7c3fe,1,9.6,49,2024-11-26T20:01:09.484Z,2024-11-27T02:14:44Z,5385184019,213,5.46,5385184011,56,Back,5386001213,178,,5385184017,212,19.8,5385184015,141,27.7,5385184013,140,22.5,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Inaki Pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195597,10,1,1,0,37,agh9ifb2mw3ivjusgedj7c3fe,1,31.9,30.7,2024-11-26T20:01:16.200Z,2024-11-27T02:14:48Z,5386001253,178,,5385184321,212,23.9,5385184319,141,4.9,5385184315,56,Back,5385184323,213,5.46,5385184317,140,47.3,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195639,11,1,1,0,40,agh9ifb2mw3ivjusgedj7c3fe,1,55,9.5,2024-11-26T20:01:19.260Z,2024-11-27T02:14:52Z,5386001305,178,,5385184563,56,Right,5385184571,213,5.88,5385184569,212,8.9,5385184565,140,62.8,5385184567,141,4.3,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195729,12,1,1,0,43,agh9ifb2mw3ivjusgedj7c3fe,1,56.1,7.4,2024-11-26T20:01:22.527Z,2024-11-27T02:14:57Z,5385185083,196,,5385185085,56,Left,5385185081,155,,5386001451,178,,5385185093,213,1.56,5385185087,140,56.5,5385185091,212,53.6,5385185095,1,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,5385185089,141,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195777,13,1,1,0,49,agh9ifb2mw3ivjusgedj7c3fe,1,63.1,88.9,2024-11-26T20:01:28.765Z,2024-11-27T02:15:04Z,5386001615,178,,5385185349,56,Center,5385185353,141,72.9,5385185355,212,12.3,5385185357,213,4.23,5385185351,140,57.7,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195811,14,1,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,1,57.4,73.6,2024-11-26T20:01:31.744Z,2024-11-27T02:15:06Z,5385185611,141,93.8,5385185617,213,1.17,5385185607,140,62.9,5385185615,212,14.9,5386001653,178,,5385185603,56,Left,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195879,15,1,1,0,55,agh9ifb2mw3ivjusgedj7c3fe,1,62.9,93.6,2024-11-26T20:01:34.467Z,2024-11-27T02:15:10Z,5385185959,141,82.3,5386001747,178,,5385185965,213,4.11,5385185951,56,Left,5385185955,140,57.9,5385185963,212,9.3,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195975,16,1,1,0,57,agh9ifb2mw3ivjusgedj7c3fe,1,57.8,79.1,2024-11-26T20:01:36.719Z,2024-11-27T02:15:13Z,5385186421,212,51.8,5385186425,1,,5385186413,56,Right,5385186409,155,,5385186411,196,,5385186415,140,73.8,5385186417,141,7,5385186423,213,5.04,4ftlhtels58lyzfluwofzwxuy,Pedri,5386001823,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
