id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/12/value,assist,qualifier/20/value,teamName
2801712699,9,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,27.3,76.2,2025-04-15T19:03:22.863Z,2025-04-16T03:08:08Z,5655187671,212,26.7,5655187673,213,3.84,5655874315,178,,5655187669,141,50.9,5655187667,140,7.9,5655187665,56,Back,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712765,10,1,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,7.8,49.3,2025-04-15T19:03:26.023Z,2025-04-16T03:08:12Z,5655187987,140,12.1,5655874325,178,,5655187985,56,Back,5655187989,141,26.9,5655187993,213,5,5655187991,212,15.9,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712811,11,1,1,0,23,agh9ifb2mw3ivjusgedj7c3fe,1,20.4,25.7,2025-04-15T19:03:31.743Z,2025-04-16T03:08:16Z,5655188227,141,54.5,5655874333,178,,5655188225,140,14.5,5655188223,56,Back,5655188231,213,1.88,5655188229,212,20.5,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712839,12,1,1,0,28,agh9ifb2mw3ivjusgedj7c3fe,1,25.1,62.3,2025-04-15T19:03:36.984Z,2025-04-16T03:08:23Z,5655188379,140,25.4,5655188385,213,4.73,5655874499,178,,5655188377,56,Back,5655188383,212,20.7,5655188381,141,31.9,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712853,13,1,1,0,32,agh9ifb2mw3ivjusgedj7c3fe,1,29.6,29.5,2025-04-15T19:03:41.144Z,2025-04-16T03:08:28Z,5655188475,213,5.12,5655188467,56,Back,5655874601,178,,5655188471,141,7.1,5655188473,212,16.6,5655188469,140,35.9,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712877,14,1,1,0,35,agh9ifb2mw3ivjusgedj7c3fe,1,35.9,7.1,2025-04-15T19:03:43.745Z,2025-04-16T03:08:34Z,5655188585,213,6.19,5655188573,56,Back,5655188575,140,40.2,5655188581,212,4.5,5655874689,178,,5655188577,141,6.5,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712891,15,61,1,0,36,agh9ifb2mw3ivjusgedj7c3fe,0,40.2,6.5,2025-04-15T19:03:44.505Z,2025-04-16T03:08:40Z,5655874793,178,,5655188629,56,Back,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712887,3,61,1,0,36,dt4pinj0vw0t0cvz7za6mhmzy,0,61.7,83.4,2025-04-15T19:03:45.065Z,2025-04-16T03:08:51Z,5655188617,56,Left,5655874897,178,,,,,,,,,,,,,,,,,,,,c9e54hwefvwos94ri459uylbe,D. Svensson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801712905,16,3,1,0,38,agh9ifb2mw3ivjusgedj7c3fe,0,37.8,13.8,2025-04-15T19:03:46.985Z,2025-04-16T03:09:02Z,5655188695,286,,5655188727,233,4,5655875051,178,,5655188693,56,Back,5655427899,465,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712909,4,7,1,0,38,dt4pinj0vw0t0cvz7za6mhmzy,1,62.2,86.2,2025-04-15T19:03:47.145Z,2025-04-16T03:09:08Z,5655188717,233,16,5655188713,56,Left,5655427903,384,,5655875149,178,,5655188715,285,,,,,,,,,,,3k6znit6fd9mbfcnphlwyvj6d,P. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
