id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/18/value,teamName
2767664173,3,1,1,0,10,9ldqu49smv1xg2va0n2cy28zl,0,34.9,11.6,2025-01-21T20:01:51.975Z,2025-01-22T05:00:49Z,5468967701,140,46.8,5468967697,3,,5469451293,178,,5468967699,56,Back,5468967707,213,0.38,5468967703,141,19,5468967705,212,13.5,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664207,9,1,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,1,55.4,87.5,2025-01-21T20:01:53.626Z,2025-01-22T05:00:56Z,5468967881,141,94.4,5468967877,56,Left,5468967883,212,5.7,5468967879,140,58.4,5468967885,213,0.98,5469451323,178,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664187,4,83,1,0,14,9ldqu49smv1xg2va0n2cy28zl,0,41.5,15.2,2025-01-21T20:01:55.590Z,2025-01-22T05:01:06Z,5468968071,399,4ftlhtels58lyzfluwofzwxuy,,,,,,,,,,,,,,,,,,,,,,5t952swvuoed4pdwgbi4yjhex,Florentino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664211,10,61,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,0,57.2,97.7,2025-01-21T20:01:56.028Z,2025-01-22T05:01:24Z,5468967895,56,Left,5469451443,178,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664257,5,1,1,0,16,9ldqu49smv1xg2va0n2cy28zl,1,44.2,13.7,2025-01-21T20:01:57.073Z,2025-01-22T05:01:41Z,5469451491,178,,5468968161,213,1.85,5468968157,141,16.4,5468968153,56,Back,5468968159,212,1.9,5468968155,140,43.7,,,,,,,2z9h8lozjzxk4ah6ysho9hotl,K. Aktürkoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664271,6,3,1,0,17,9ldqu49smv1xg2va0n2cy28zl,0,44.1,7.3,2025-01-21T20:01:58.521Z,2025-01-22T06:12:47Z,5469401083,233,11,5468968201,286,,5468968199,56,Back,5469451509,178,,5469378373,464,,,,,,,,,,,5t952swvuoed4pdwgbi4yjhex,Florentino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664231,11,7,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,55.9,92.7,2025-01-21T20:01:58.608Z,2025-01-22T05:01:50Z,5469401079,233,6,5468968055,285,,5468968053,56,Left,5469451531,178,,5469378407,385,,5468968119,167,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664313,7,5,1,0,18,9ldqu49smv1xg2va0n2cy28zl,1,47.4,-1.2,2025-01-21T20:01:59.891Z,2025-01-22T05:01:53Z,5468968565,233,12,5468968533,56,Back,5468968535,347,,,,,,,,,,,,,,,,,5t952swvuoed4pdwgbi4yjhex,Florentino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664265,12,5,1,0,18,agh9ifb2mw3ivjusgedj7c3fe,0,52.6,101.2,2025-01-21T20:01:59.891Z,2025-01-22T05:01:53Z,5468968581,233,7,5468968179,56,Left,5468968181,347,,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664411,8,1,1,0,31,9ldqu49smv1xg2va0n2cy28zl,1,50.7,0,2025-01-21T20:02:12.703Z,2025-01-22T05:02:16Z,5468968993,212,14.5,5468968987,56,Right,5468968995,213,0.71,5468968985,107,,5468968989,140,61.2,5468968991,141,12.2,,,,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664419,9,1,1,0,32,9ldqu49smv1xg2va0n2cy28zl,0,61.2,12.4,2025-01-21T20:02:13.865Z,2025-01-22T05:03:14Z,5469451703,178,,5468969029,56,Right,5468969025,168,,5468969037,212,3.4,5468969033,140,64.1,5468969035,141,14.5,5468969039,213,0.44,,,,4dh4ws8ehn6uywozt6ygczs2d,F. Aursnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664417,13,61,1,0,32,agh9ifb2mw3ivjusgedj7c3fe,1,35.4,92.1,2025-01-21T20:02:13.884Z,2025-01-22T05:03:02Z,5468969021,56,Back,5469451771,178,,,,,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664449,14,1,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,1,39.2,93,2025-01-21T20:02:15.108Z,2025-01-22T05:04:27Z,5468969227,141,94.4,5468969223,56,Back,5468969231,213,2.95,5468969225,140,34.6,5468969229,212,4.9,5469452389,178,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
