id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value,qualifier/18/value,qualifier/19/value,teamName
2798648075,7,49,1,0,24,dt4pinj0vw0t0cvz7za6mhmzy,1,81.2,78.3,2025-04-09T19:01:39.989Z,2025-04-10T04:36:17Z,,,,,,,,,,,,,,,,,,,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648077,8,1,1,0,25,dt4pinj0vw0t0cvz7za6mhmzy,1,81.2,78.3,2025-04-09T19:01:40.436Z,2025-04-10T04:36:27Z,5638370283,141,85.5,5639056687,178,,5638370287,213,2.3,5638370281,140,77,5638370279,56,Left,5638370285,212,6.6,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648079,9,1,1,0,26,dt4pinj0vw0t0cvz7za6mhmzy,0,77.3,84.6,2025-04-09T19:01:41.426Z,2025-04-10T04:36:35Z,5638370297,212,1.7,5638370685,236,,5638370291,56,Left,5638370687,233,7,5638370691,286,,5639056699,178,,5638370299,213,5.24,5638370295,141,82.5,ebj6t5jqzixrnww1z7qofznu2,K. Adeyemi,5638370293,140,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648135,7,74,1,0,26,agh9ifb2mw3ivjusgedj7c3fe,1,19.6,6.8,2025-04-09T19:01:41.493Z,2025-04-10T04:36:39Z,5638370617,285,,5639056703,178,,5638370615,56,Back,5638370693,233,9,,,,,,,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648081,5,49,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,14.9,14.9,2025-04-09T19:01:42.334Z,2025-04-10T05:25:45Z,,,,,,,,,,,,,,,,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648089,6,1,1,0,28,agh9ifb2mw3ivjusgedj7c3fe,0,14.9,14.9,2025-04-09T19:01:43.056Z,2025-04-10T04:36:50Z,5638370361,56,Back,5638370371,1,,5638370367,212,18.2,5638370365,141,10,5638370369,213,6.1,5639056727,178,,5638370363,140,31.9,5638370359,157,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648109,10,49,1,0,31,dt4pinj0vw0t0cvz7za6mhmzy,1,58.5,78.5,2025-04-09T19:01:46.033Z,2025-04-10T05:40:23Z,,,,,,,,,,,,,,,,,,,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648129,11,1,1,0,31,dt4pinj0vw0t0cvz7za6mhmzy,1,58.5,78.5,2025-04-09T19:01:46.073Z,2025-04-10T04:37:07Z,5639056745,178,,5638370567,213,3.99,5638370553,140,39.8,5638370557,141,45.7,5638370551,56,Back,5638370563,212,29.7,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648143,12,1,1,0,36,dt4pinj0vw0t0cvz7za6mhmzy,1,38.5,45.5,2025-04-09T19:01:51.988Z,2025-04-10T04:37:14Z,5639056763,178,,5638370665,141,65.7,5638370669,213,1.63,5638370667,212,13.8,5638370661,56,Back,5638370663,140,37.7,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648155,13,1,1,0,40,dt4pinj0vw0t0cvz7za6mhmzy,0,36.6,61.8,2025-04-09T19:01:55.070Z,2025-04-10T04:37:17Z,5638370773,56,Right,5638370771,155,,5638370777,141,12.4,5638370781,213,5.43,5638370775,140,64.8,5638370779,212,44.8,5639056771,178,,5638370785,1,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648157,8,1,1,0,43,agh9ifb2mw3ivjusgedj7c3fe,0,41,83.8,2025-04-09T19:01:58.210Z,2025-04-10T04:37:24Z,5639056783,178,,5638370793,141,78.5,5638370797,213,5.63,5638370791,140,45.5,5638370789,56,Back,5638370795,212,5.9,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648165,14,1,1,0,44,dt4pinj0vw0t0cvz7za6mhmzy,0,62.7,23.2,2025-04-09T19:01:59.988Z,2025-04-10T04:37:27Z,5638370833,212,5.7,5638370829,140,57.3,5638370835,213,3.11,5639056799,178,,5638370831,141,23.5,5638370827,56,Center,,,,,,,f4qcgzveslklfi8601tep77x1,J. Brandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648167,9,49,1,0,46,agh9ifb2mw3ivjusgedj7c3fe,1,48.5,82,2025-04-09T19:02:01.436Z,2025-04-10T04:37:30Z,,,,,,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648205,10,1,1,0,47,agh9ifb2mw3ivjusgedj7c3fe,1,54.3,80,2025-04-09T19:02:02.386Z,2025-04-10T04:37:32Z,5638371013,141,68.4,5639056817,178,,5638371009,56,Center,5638371015,212,16.1,5638371017,213,5.77,5638371011,140,67.7,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648211,11,1,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,1,71.6,71.5,2025-04-09T19:02:07.448Z,2025-04-10T04:37:39Z,5638371053,212,8.3,5638371055,213,0.44,5638371047,56,Center,5638371049,140,78.8,5638371051,141,76.7,5639056837,178,,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648221,12,1,1,0,54,agh9ifb2mw3ivjusgedj7c3fe,1,78.2,75,2025-04-09T19:02:09.455Z,2025-04-10T04:37:54Z,5638371123,213,3.75,5638371117,140,70.2,5639056857,178,,5638371115,56,Center,5638371119,141,66.4,5638371121,212,10.2,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648251,13,1,1,0,56,agh9ifb2mw3ivjusgedj7c3fe,1,68.1,66.1,2025-04-09T19:02:11.712Z,2025-04-10T04:37:58Z,5638371257,141,68.7,5638371255,140,60.8,5638371259,212,7.9,5638371261,213,2.91,5639056863,178,,5638371253,56,Center,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648261,14,1,1,1,0,agh9ifb2mw3ivjusgedj7c3fe,1,60.7,77,2025-04-09T19:02:15.558Z,2025-04-10T04:38:01Z,5638371323,140,64.9,5639056877,178,,5638371321,56,Left,5638371327,212,8.3,5638371325,141,87.4,5638371329,213,1.01,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648275,15,1,1,1,2,agh9ifb2mw3ivjusgedj7c3fe,1,64.8,87.4,2025-04-09T19:02:17.060Z,2025-04-10T04:38:05Z,5638371393,141,97.2,5639056891,178,,5638371389,56,Left,5638371395,212,7.3,5638371397,213,1.14,5638371391,140,67.7,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648283,16,1,1,1,2,agh9ifb2mw3ivjusgedj7c3fe,1,67.7,97.2,2025-04-09T19:02:17.938Z,2025-04-10T04:38:57Z,5639056967,178,,5638371443,141,89.7,5638371439,56,Left,5638371441,140,59.9,5638371447,213,3.7,5638371445,212,9.6,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648291,17,1,1,1,5,agh9ifb2mw3ivjusgedj7c3fe,1,59.4,89,2025-04-09T19:02:20.261Z,2025-04-10T04:39:00Z,5638371483,140,62.7,5638371485,141,80.8,5638371489,213,5.27,5638371487,212,6.6,5639056977,178,,5638371481,56,Left,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648301,18,1,1,1,5,agh9ifb2mw3ivjusgedj7c3fe,1,62.7,80.8,2025-04-09T19:02:21.003Z,2025-04-10T04:39:16Z,5638371527,56,Left,5639057013,178,,5638371529,140,50.6,5638371539,213,2.98,5638371535,212,12.9,5638371571,156,,5638371533,141,83.9,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648349,19,1,1,1,12,agh9ifb2mw3ivjusgedj7c3fe,1,53.3,82.6,2025-04-09T19:02:27.279Z,2025-04-10T04:39:23Z,5638371817,213,1.09,5639057031,178,,5638371815,212,9.3,5638371809,140,57.4,5638371805,56,Left,5638371813,141,94.7,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648355,20,1,1,1,14,agh9ifb2mw3ivjusgedj7c3fe,1,55,90.9,2025-04-09T19:02:29.259Z,2025-04-10T04:39:25Z,5638371843,213,3.45,5638371835,56,Back,5638371839,141,84.2,5638371837,140,41.4,5639057035,178,,5638371841,212,15,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648375,21,1,1,1,16,agh9ifb2mw3ivjusgedj7c3fe,1,40.8,82.9,2025-04-09T19:02:31.017Z,2025-04-10T04:39:28Z,5638371967,213,5,5638371961,140,45.4,5638371965,212,17.2,5639057043,178,,5638371959,56,Back,5638371963,141,58.7,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648393,22,1,1,1,19,agh9ifb2mw3ivjusgedj7c3fe,1,43.4,39.1,2025-04-09T19:02:34.994Z,2025-04-10T04:39:33Z,5638372067,56,Right,5638372071,141,5.6,5638372069,140,59.8,5638372075,213,5.36,5639057053,178,,5638372073,212,28.6,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648407,23,1,1,1,23,agh9ifb2mw3ivjusgedj7c3fe,1,58.9,5.6,2025-04-09T19:02:38.069Z,2025-04-10T04:39:36Z,5639057065,178,,5638372157,140,36.5,5638372161,212,25.6,5638372159,141,20.4,5638372155,56,Back,5638372163,213,2.74,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648419,24,1,1,1,25,agh9ifb2mw3ivjusgedj7c3fe,1,37.8,27.4,2025-04-09T19:02:40.869Z,2025-04-10T04:40:24Z,5638372251,141,64.6,5638372249,140,43.5,5638372255,213,1.34,5638372247,56,Back,5638372253,212,26,5639057169,178,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648427,25,1,1,1,29,agh9ifb2mw3ivjusgedj7c3fe,0,43.9,65.5,2025-04-09T19:02:44.125Z,2025-04-10T04:40:27Z,5638372305,155,,5638372311,141,14.4,5638372309,140,70.5,5639057177,178,,5638372317,1,,5638372315,213,5.39,5638372313,212,44.6,5638372307,56,Right,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648443,16,1,1,1,30,dt4pinj0vw0t0cvz7za6mhmzy,1,34.7,76.1,2025-04-09T19:02:45.946Z,2025-04-10T04:40:29Z,5638372393,140,41.8,5638372395,141,67.8,5638372399,213,5.64,5638372391,56,Back,5639057187,178,,5638372397,212,9.4,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648445,17,49,1,1,32,dt4pinj0vw0t0cvz7za6mhmzy,1,41.8,67.8,2025-04-09T19:02:47.745Z,2025-04-10T04:40:31Z,,,,,,,,,,,,,,,,,,,,,,,,,6384gzzxuxs6pvmrn8qx4d7u1,F. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648451,18,3,1,1,32,dt4pinj0vw0t0cvz7za6mhmzy,0,40.2,68,2025-04-09T19:02:47.833Z,2025-04-10T04:40:37Z,5638372423,286,,5638604659,465,,5639057203,178,,5638372429,233,26,5638372421,56,Back,,,,,,,,,,6384gzzxuxs6pvmrn8qx4d7u1,F. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648447,26,7,1,1,33,agh9ifb2mw3ivjusgedj7c3fe,0,59.8,32,2025-04-09T19:02:48.283Z,2025-04-10T04:40:40Z,5639057211,178,,5638604767,385,,5638372425,233,18,5638372405,56,Center,5638372407,285,,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648455,19,43,1,1,34,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2025-04-09T19:02:49.519Z,2025-04-09T19:03:11Z,5638373349,144,61,5638372445,56,Back,,,,,,,,,,,,,,,,,,,6384gzzxuxs6pvmrn8qx4d7u1,F. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648523,20,1,1,1,37,dt4pinj0vw0t0cvz7za6mhmzy,1,40.1,91.7,2025-04-09T19:02:52.617Z,2025-04-10T04:40:49Z,5638372853,141,93.2,5639057229,178,,5638372855,212,12,5638372849,56,Back,5638372851,140,28.7,5638372857,213,3.06,,,,,,,6384gzzxuxs6pvmrn8qx4d7u1,F. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798662289,504,83,1,1,41,agh9ifb2mw3ivjusgedj7c3fe,0,70.6,5,2025-04-09T19:02:56.715Z,2025-04-10T04:41:09Z,5638452657,399,dqrzogrwznyks6whhfhq748ut,,,,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648527,21,61,1,1,44,dt4pinj0vw0t0cvz7za6mhmzy,0,32.3,95,2025-04-09T19:02:59.138Z,2025-04-10T04:41:20Z,5638372867,56,Back,5639057305,178,,,,,,,,,,,,,,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648517,27,49,1,1,45,agh9ifb2mw3ivjusgedj7c3fe,1,74,3.5,2025-04-09T19:03:00.713Z,2025-04-10T04:41:23Z,,,,,,,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648559,28,1,1,1,48,agh9ifb2mw3ivjusgedj7c3fe,1,78.9,16.1,2025-04-09T19:03:03.593Z,2025-04-10T04:41:59Z,5638373057,212,7.4,5638373051,56,Center,5638373059,213,1.05,5638373055,141,25.6,5639057355,178,,5638373053,140,82.4,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648563,29,50,1,1,49,agh9ifb2mw3ivjusgedj7c3fe,1,83.3,27,2025-04-09T19:03:04.313Z,2025-04-10T04:42:07Z,5638373073,286,,5638373071,56,Center,5638373221,233,22,,,,,,,,,,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
