id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/20/value,qualifier/19/value,qualifier/21/value,teamName
2743747323,9,1,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,56,36.7,2024-11-03T15:18:34.028Z,2024-11-04T01:10:10Z,5338991571,141,25.9,5341363063,178,,5338991577,213,4.08,5338991563,56,Center,5338991575,212,9.1,5338991567,140,50.9,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747379,10,1,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,1,50.9,25.9,2024-11-03T15:18:35.442Z,2024-11-04T01:10:14Z,5338991921,141,44.6,5338991919,140,45.6,5338991917,56,Back,5338991923,212,13.9,5338991925,213,1.98,5341363101,178,,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747495,11,1,1,0,22,agh9ifb2mw3ivjusgedj7c3fe,1,47.8,54.9,2024-11-03T15:18:38.771Z,2024-11-04T01:10:17Z,5341363133,178,,5338992589,212,15.3,5338992587,141,75.6,5338992591,213,1.17,5338992585,140,53.5,5338992583,56,Center,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747559,12,1,1,0,28,agh9ifb2mw3ivjusgedj7c3fe,1,62.2,76.1,2024-11-03T15:18:44.577Z,2024-11-04T01:10:22Z,5338993003,56,Left,5338993005,140,71,5341363241,178,,5338993011,213,0.43,5338993009,212,10.2,5338993007,141,82.3,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743775837,130,83,1,0,30,c8llrezkm3b3op4afrou6b487,0,31.6,9.1,2024-11-03T15:18:46.710Z,2024-11-04T01:10:29Z,5339146827,399,2wl6h1rlrfnn2mr65vuo3t815,,,,,,,,,,,,,,,,,,,,,,6peka1v0xt2ctv0qtoaw9cslx,Álvaro Tejero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743747565,13,50,1,0,30,agh9ifb2mw3ivjusgedj7c3fe,1,69.8,81.7,2024-11-03T15:18:47.001Z,2024-11-04T01:10:34Z,5338993025,286,,5338993023,56,Left,5339013863,233,3,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747695,3,7,1,0,31,c8llrezkm3b3op4afrou6b487,1,30.2,18.3,2024-11-03T15:18:47.256Z,2024-11-04T01:10:39Z,5341363629,178,,5339013883,233,13,5338993669,285,,5338993667,56,Back,5340631857,384,,,,,,,,,,,7h0b81yjiiu356rycsakgd0yc,O. El Hilali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743747701,4,1,1,0,31,c8llrezkm3b3op4afrou6b487,1,26.1,23.1,2024-11-03T15:18:47.765Z,2024-11-04T01:10:44Z,5341363675,178,,5339128629,212,6.7,5339128627,141,14.8,5338993695,56,Back,5339128625,140,29.5,5339128633,213,5.28,,,,,,,b7bcouznm395r2z5g33ehiiac,Rafel Bauzà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743747709,5,49,1,0,32,c8llrezkm3b3op4afrou6b487,1,25.6,13.5,2024-11-03T15:18:48.517Z,2024-11-04T01:10:49Z,,,,,,,,,,,,,,,,,,,,,,,,,6peka1v0xt2ctv0qtoaw9cslx,Álvaro Tejero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743776323,131,1,1,0,33,c8llrezkm3b3op4afrou6b487,0,32.5,11.1,2024-11-03T15:18:49.356Z,2024-11-04T01:10:53Z,5341363771,178,,5339148425,141,10.3,5339148429,213,3.23,5339148427,212,6.4,5339148423,140,26.4,5339148421,56,Back,,,,,,,6peka1v0xt2ctv0qtoaw9cslx,Álvaro Tejero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
