id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,teamName
2759825421,10,1,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,1,40.1,53.1,2024-12-15T20:02:36.039Z,2024-12-16T06:20:14Z,5426512931,141,51.3,5426512935,212,10.6,5426512929,140,50.1,5427155571,178,,5426512939,213,6.17,5426512927,56,Center,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825429,11,61,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,0,50.1,49.7,2024-12-15T20:02:36.808Z,2024-12-16T06:21:01Z,5427155703,178,,5426512973,56,Center,,,,,,,,,,,,,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759829853,47,49,1,0,17,3krm0f4yr1l80j1sd7823f9xn,1,48.2,53.3,2024-12-15T20:02:38.152Z,2024-12-16T06:21:07Z,,,,,,,,,,,,,,,,,,,,,,,,,ea5xlslcii56ycrlmyo6uiimt,Óscar Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825473,5,1,1,0,18,3krm0f4yr1l80j1sd7823f9xn,1,47.9,53.4,2024-12-15T20:02:38.900Z,2024-12-16T06:21:12Z,5426513189,56,Center,5427155887,178,,5426513197,213,4.99,5426513193,141,38.7,5426513191,140,50.6,5426513195,212,10.4,,,,,,,ea5xlslcii56ycrlmyo6uiimt,Óscar Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759830211,48,1,1,0,19,3krm0f4yr1l80j1sd7823f9xn,1,50.7,40.1,2024-12-15T20:02:39.687Z,2024-12-16T06:21:15Z,5426540357,212,9.3,5426540353,140,45.1,5426540351,56,Back,5427155915,178,,5426540359,213,2.26,5426540355,141,50.7,,,,,,,bxzhhmig5if9pznqa0fgxlyei,S. Cissé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825465,3,43,1,0,20,3krm0f4yr1l80j1sd7823f9xn,1,0,0,2024-12-15T20:02:40.593Z,2024-12-15T20:02:56Z,5426513167,286,0,5426513165,56,Back,5426514183,144,3,,,,,,,,,,,,,,,,ea5xlslcii56ycrlmyo6uiimt,Óscar Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825467,4,43,1,0,20,3krm0f4yr1l80j1sd7823f9xn,1,0,0,2024-12-15T20:02:41.085Z,2024-12-15T20:08:39Z,5426538697,144,49,,,,,,,,,,,,,,,,,,,,,,ea5xlslcii56ycrlmyo6uiimt,Óscar Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825495,6,1,1,0,21,3krm0f4yr1l80j1sd7823f9xn,1,44.9,55,2024-12-15T20:02:41.480Z,2024-12-16T06:21:19Z,5426513359,213,2.72,5426513355,141,63,5426513353,140,33.3,5427155945,178,,5426513351,56,Back,5426513357,212,13.3,,,,,,,9g4devlvymukexrvfgkipd6tx,R. Tapia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825545,7,1,1,0,23,3krm0f4yr1l80j1sd7823f9xn,1,34,61.8,2024-12-15T20:02:43.426Z,2024-12-16T06:21:27Z,5426513605,212,24.4,5426513607,213,3.61,5426513603,141,45.7,5427155993,178,,5426513599,56,Back,5426513601,140,13.2,,,,,,,48ctbksxfm5hrdmwphb4eril1,Jorge Sáenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825575,8,1,1,0,27,3krm0f4yr1l80j1sd7823f9xn,0,10.6,50.4,2024-12-15T20:02:47.557Z,2024-12-16T06:21:34Z,5426513783,56,Center,5426513781,157,,5426513789,212,49.5,5426513785,140,55,5427156053,178,,5426513795,1,,5426513787,141,74.7,5426513791,213,0.34,bahph7009sc73jl6s2bramn6d,M. Dmitrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
