id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/20/value,teamName
2766679265,3,12,1,0,21,1n1j0wsl763lq7ee1k0c11c02,1,9.9,42.8,2025-01-18T20:02:19.544Z,2025-01-19T08:57:53Z,5463637161,213,5.24,5463637155,140,21,5463637159,212,23,5463637157,141,13.7,5463637153,56,Back,5464457685,178,,5463637167,15,,,,,2o3bka7gokfjkej1f600ovbo5,O. Alderete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679311,8,2,1,0,24,agh9ifb2mw3ivjusgedj7c3fe,1,78.1,89.1,2025-01-18T20:02:22.792Z,2025-01-19T08:57:59Z,5463637319,56,Center,5463637323,141,45.5,5463637329,1,,5464457703,178,,5463639231,7,abr79wsl0folgkyvl821ggs2c,5463637321,140,90.9,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679481,6,55,1,0,24,1n1j0wsl763lq7ee1k0c11c02,1,11.1,45,2025-01-18T20:02:22.793Z,2025-01-19T08:57:59Z,,,,,,,,,,,,,,,,,,,,,,,,,2o3bka7gokfjkej1f600ovbo5,O. Alderete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679315,9,43,1,0,26,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-18T20:02:24.016Z,2025-01-18T20:03:06Z,5463637357,286,0,5463639059,144,44,5463637355,56,Center,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679305,4,43,1,0,26,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2025-01-18T20:02:24.017Z,2025-01-18T20:03:01Z,5463637293,285,0,5463638773,144,44,5463637291,56,Back,5463637415,233,9,,,,,,,,,,,,,dkt9892ixwnz1bkmgileo71sl,Diego Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679323,10,43,1,0,26,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-18T20:02:24.857Z,2025-01-18T20:03:04Z,5463637665,55,8,5463637671,103,65.3,5463637675,231,48.9,5463637661,29,0,5463637391,56,Center,5463637663,154,0,5463637673,230,98.6,5463637539,15,0,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,5463639019,144,5463637389,17,0,13,5463637387,22,0,5463637669,102,56.6,5463637545,328,0,5463637659,77,0,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679327,11,43,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-18T20:02:25.753Z,2025-01-18T20:03:03Z,5463638917,144,5,5463637423,56,Center,5463637425,346,0,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679375,5,43,1,0,28,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2025-01-18T20:02:26.640Z,2025-01-18T20:03:00Z,5463637701,56,Back,5463638697,144,5,5463637703,346,0,5463637707,233,11,,,,,,,,,,,,,dkt9892ixwnz1bkmgileo71sl,Diego Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679491,7,1,1,0,50,1n1j0wsl763lq7ee1k0c11c02,0,10.4,54.8,2025-01-18T20:02:48.103Z,2025-01-19T08:58:03Z,5463638359,5,,5463638367,140,53.4,5463638369,141,69.8,5463638361,157,,5463638375,1,,5463638371,212,46.3,5463638365,56,Center,5463638373,213,0.22,vota9gwygxp3wc998tl7ldxx,David Soria,5463638363,241,5464457727,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679489,12,44,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,1,43.8,30.3,2025-01-18T20:02:50.930Z,2025-01-19T13:15:54Z,5463638349,285,,5463638347,56,Back,5463638425,233,8,,,,,,,,,,,,,,,,eb3ci3a120om80v80mobsus8a,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
