id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/13/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,teamName
2769506769,9,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,0,33.4,95.1,2025-01-26T20:01:34.441Z,2025-01-27T06:12:05Z,5479585637,178,,5478852015,212,9.9,5478852013,141,90.3,5478852017,213,5.95,5478852009,56,Back,5478852011,140,42.3,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506783,3,8,1,0,12,ba5e91hjacvma2sjvixn00pjo,1,62,11.4,2025-01-26T20:01:35.357Z,2025-01-27T06:12:14Z,5478852099,56,Right,5479585847,178,,5479409765,383,,,,,,,,,,,,,,,,,3702btkgwxf6tq92ouekd7ro5,Pepelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769506785,4,49,1,0,13,ba5e91hjacvma2sjvixn00pjo,1,62,11.4,2025-01-26T20:01:36.245Z,2025-01-27T06:12:18Z,,,,,,,,,,,,,,,,,,,,,,,,,3702btkgwxf6tq92ouekd7ro5,Pepelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769506807,5,1,1,0,13,ba5e91hjacvma2sjvixn00pjo,1,62,11.4,2025-01-26T20:01:36.266Z,2025-01-27T06:12:24Z,5479585897,178,,5478852241,141,17,5478852239,140,67.4,5478852237,56,Right,5478852243,212,6.8,5478852245,213,0.59,,,,,,,3702btkgwxf6tq92ouekd7ro5,Pepelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769506819,6,1,1,0,17,ba5e91hjacvma2sjvixn00pjo,1,60.3,15,2025-01-26T20:01:40.215Z,2025-01-27T06:12:36Z,5479585943,389,,5478852307,213,4.71,5478852299,56,Right,5478852301,140,60.3,5478852305,212,7.8,5478852303,141,3.5,,,,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769506845,7,1,1,0,18,ba5e91hjacvma2sjvixn00pjo,1,60.3,3.5,2025-01-26T20:01:41.221Z,2025-01-27T06:12:38Z,5478852453,56,Right,5478852455,140,53,5478852461,213,3.11,5479585969,178,,5478852459,212,7.7,5478852457,141,3.9,,,,,,,3702btkgwxf6tq92ouekd7ro5,Pepelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769506849,8,1,1,0,19,ba5e91hjacvma2sjvixn00pjo,0,54.6,3.9,2025-01-26T20:01:42.922Z,2025-01-27T06:12:42Z,5478852471,56,Right,5478852477,212,36.2,5478852469,155,,5479585985,178,,5478852479,213,0.1,5478852481,1,,5478852473,140,88.9,5478852475,141,9.1,wlqj34ev5mucxtfx6j4tr9at,D. Foulquier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769506853,10,49,1,0,24,agh9ifb2mw3ivjusgedj7c3fe,1,7.1,81.4,2025-01-26T20:01:47.162Z,2025-01-27T06:12:47Z,,,,,,,,,,,,,,,,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506927,11,1,1,0,33,agh9ifb2mw3ivjusgedj7c3fe,1,11.8,38.5,2025-01-26T20:01:56.495Z,2025-01-27T06:12:51Z,5478852863,212,14.3,5478852865,213,5.54,5478852857,56,Back,5479586031,178,,5478852861,141,24.3,5478852859,140,21.8,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506947,12,1,1,0,36,agh9ifb2mw3ivjusgedj7c3fe,1,22.2,18,2025-01-26T20:01:59.201Z,2025-01-27T06:12:54Z,5478852979,213,4.85,5478852973,140,23.3,5478852975,141,5.6,5478852977,212,8.5,5479586055,178,,5478852971,56,Back,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506953,13,1,1,0,38,agh9ifb2mw3ivjusgedj7c3fe,1,23.8,6.7,2025-01-26T20:02:01.930Z,2025-01-27T06:12:57Z,5478853039,56,Back,5478853047,213,2.79,5478853041,140,6.8,5478853043,141,16.4,5478853045,212,19,5479586071,178,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506973,14,1,1,0,41,agh9ifb2mw3ivjusgedj7c3fe,1,6.8,16.4,2025-01-26T20:02:04.084Z,2025-01-27T06:13:01Z,5478853175,56,Back,5478853179,141,41,5478853181,212,17.2,5479586093,178,,5478853183,213,1.81,5478853177,140,2.9,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506993,15,1,1,0,44,agh9ifb2mw3ivjusgedj7c3fe,1,5.1,47.2,2025-01-26T20:02:07.136Z,2025-01-27T06:13:05Z,5478853307,212,16,5478853301,56,Back,5478853303,140,5.1,5478853305,141,70.8,5478853309,213,1.57,5479586113,178,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507025,16,1,1,0,45,agh9ifb2mw3ivjusgedj7c3fe,1,5.1,70.8,2025-01-26T20:02:08.750Z,2025-01-27T06:13:13Z,5478853505,140,10.9,5478853503,56,Back,5479586151,178,,5478853511,213,1.22,5478853509,212,17.8,5478853507,141,95.4,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507037,17,1,1,0,50,agh9ifb2mw3ivjusgedj7c3fe,1,12.1,92.9,2025-01-26T20:02:13.155Z,2025-01-27T06:13:24Z,5478853579,213,0.24,5478853575,141,96.5,5479586239,178,,5478853573,140,21.7,5478853577,212,10.4,5478853571,56,Back,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507053,18,1,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,1,19.2,95.7,2025-01-26T20:02:15.075Z,2025-01-27T06:13:30Z,5478853665,212,7.8,5478853663,141,94.7,5478853659,56,Back,5478853661,140,11.8,5478853667,213,3.23,5479586275,178,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507063,19,1,1,0,52,agh9ifb2mw3ivjusgedj7c3fe,0,11.8,94.7,2025-01-26T20:02:15.979Z,2025-01-27T06:13:35Z,5479586293,178,,5478853723,141,88.1,5478853725,212,17,5478853719,56,Back,5478853717,155,,5478853727,213,6.02,5478853721,140,27.4,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507089,9,1,1,0,54,ba5e91hjacvma2sjvixn00pjo,1,64.9,15,2025-01-26T20:02:17.527Z,2025-01-27T06:13:55Z,5479586375,178,,5478853863,140,82.9,5478853877,213,0.47,5478853869,141,29.1,5478853859,3,,5478853873,212,21.2,5478853861,56,Center,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507099,10,1,1,0,56,ba5e91hjacvma2sjvixn00pjo,0,82.9,29.1,2025-01-26T20:02:19.271Z,2025-01-27T06:14:00Z,5478853937,212,8.8,5478853929,3,,5478853931,56,Center,5479586411,178,,5478853939,213,2.38,5478853935,141,38,5478853933,140,76.8,,,,7yieh5r0uzk6d6x9o060c2bfu,Hugo Duro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507121,20,12,1,0,57,agh9ifb2mw3ivjusgedj7c3fe,1,19.8,63.4,2025-01-26T20:02:20.259Z,2025-01-27T06:14:10Z,5478854079,56,Back,5478854087,212,1.3,5479586459,178,,5478854089,213,5.31,5478854085,141,61.8,5478854083,140,20.5,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507125,11,61,1,0,57,ba5e91hjacvma2sjvixn00pjo,1,78.8,39.8,2025-01-26T20:02:20.293Z,2025-01-27T06:14:16Z,5479586477,21,,5478854105,56,Center,5479586479,178,,,,,,,,,,,,,,,,,aqqd7tq7z6bj3wn3u3sz3uuqc,Javi Guerra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507161,12,49,1,1,1,ba5e91hjacvma2sjvixn00pjo,1,87.5,84.5,2025-01-26T20:02:24.415Z,2025-01-27T06:14:24Z,,,,,,,,,,,,,,,,,,,,,,,,,6kc8ieszwg6u00e3sa554y7yt,Luis Rioja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507175,13,1,1,1,4,ba5e91hjacvma2sjvixn00pjo,0,90.6,85.5,2025-01-26T20:02:27.669Z,2025-01-27T06:14:30Z,5479410769,72,,5479410763,225,,5478854361,212,2.9,5478854355,56,Left,5478854405,233,21,5478854351,2,,5479586551,178,,5478854359,141,81.3,6kc8ieszwg6u00e3sa554y7yt,Luis Rioja,5479410765,386,5478854353,155,5478854357,140,90.9,5478854363,213,4.82,5478854403,236,5478854409,286,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507179,21,12,1,1,4,agh9ifb2mw3ivjusgedj7c3fe,1,5.3,18.3,2025-01-26T20:02:27.760Z,2025-01-27T06:14:36Z,5479586579,178,,5478854461,233,13,5478854381,56,Back,5478854379,185,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507203,14,5,1,1,7,ba5e91hjacvma2sjvixn00pjo,1,91.4,102,2025-01-26T20:02:30.430Z,2025-01-27T06:14:42Z,5478854525,233,22,5478854517,347,,5478854515,56,Left,,,,,,,,,,,,,,,,6kc8ieszwg6u00e3sa554y7yt,Luis Rioja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507197,22,5,1,1,7,agh9ifb2mw3ivjusgedj7c3fe,0,8.6,-2,2025-01-26T20:02:30.430Z,2025-01-27T06:14:41Z,5478854549,233,14,5478854493,347,,5478854491,56,Back,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507357,15,1,1,1,26,ba5e91hjacvma2sjvixn00pjo,1,88.4,100,2025-01-26T20:02:49.024Z,2025-01-27T06:14:46Z,5478855399,107,,5478855409,213,5.38,5478855403,140,92.7,5478855405,141,92.9,5478855401,56,Left,5478855407,212,7.3,,,,,,,5b1q9bpe23j98eoy4fwi7ld5h,José Gayà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507361,16,1,1,1,28,ba5e91hjacvma2sjvixn00pjo,0,91.2,93.1,2025-01-26T20:02:51.171Z,2025-01-27T06:14:51Z,5478855437,140,90,5478855465,233,23,5478855441,212,1.5,5478855439,141,91.9,5479586681,178,,5478855469,286,,5478855443,213,3.72,5478855463,236,,6kc8ieszwg6u00e3sa554y7yt,Luis Rioja,5478855435,56,,,,,,,,,,,,,Left,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507349,23,74,1,1,28,agh9ifb2mw3ivjusgedj7c3fe,1,9.6,3.5,2025-01-26T20:02:51.240Z,2025-01-27T06:15:00Z,5479586717,178,,5478855361,56,Back,5478855491,233,16,5478855363,285,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507377,17,5,1,1,28,ba5e91hjacvma2sjvixn00pjo,1,87.4,102,2025-01-26T20:02:51.683Z,2025-01-27T06:15:05Z,5478855595,56,Left,5478855599,233,24,5478855597,347,,,,,,,,,,,,,,,,,6kc8ieszwg6u00e3sa554y7yt,Luis Rioja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507365,24,5,1,1,28,agh9ifb2mw3ivjusgedj7c3fe,0,12.6,-2,2025-01-26T20:02:51.683Z,2025-01-27T06:15:06Z,5478855499,347,,5478855619,233,17,5478855497,56,Back,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507493,18,1,1,1,43,ba5e91hjacvma2sjvixn00pjo,1,84.1,100,2025-01-26T20:03:06.680Z,2025-01-27T06:15:11Z,5478856267,107,,5478856273,141,66.9,5478856275,212,24.3,5478856279,1,,5478856269,56,Center,5478856277,213,5,5478856271,140,90.7,,,,5b1q9bpe23j98eoy4fwi7ld5h,José Gayà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507503,19,1,1,1,46,ba5e91hjacvma2sjvixn00pjo,0,90.7,66.9,2025-01-26T20:03:09.207Z,2025-01-27T06:15:35Z,5478856331,168,,5479586793,388,,5478856337,141,51.9,5478856329,3,,5478856335,140,92.4,5478856333,56,Center,5478856341,213,4.89,5478856339,212,10.4,4j3u6v01emo9nsel7uw00qsfe,Diego López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769507489,25,52,1,1,47,agh9ifb2mw3ivjusgedj7c3fe,1,10.6,44.9,2025-01-26T20:03:10.881Z,2025-01-27T06:15:26Z,5479586823,178,,5479413117,377,,,,,,,,,,,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507581,26,1,1,1,49,agh9ifb2mw3ivjusgedj7c3fe,1,11.1,49.7,2025-01-26T20:03:12.595Z,2025-01-27T06:15:41Z,5478856811,212,23.1,5478856803,140,26.4,5478856807,141,74.2,5478856801,56,Back,5478856797,123,,5479586915,178,,5478856815,213,0.8,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507621,27,1,1,1,57,agh9ifb2mw3ivjusgedj7c3fe,1,44.4,70.9,2025-01-26T20:03:20.352Z,2025-01-27T06:15:49Z,5479586949,178,,5478857011,141,92.9,5478857009,140,58.2,5478857007,56,Left,5478857015,213,0.8,5478857013,212,20.8,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507641,28,1,1,2,0,agh9ifb2mw3ivjusgedj7c3fe,1,60.5,93,2025-01-26T20:03:23.939Z,2025-01-27T06:15:55Z,5478857131,140,56,5478857143,213,3.87,5478857127,56,Left,5478857139,212,6.3,5479586961,178,,5478857135,141,86.8,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507673,29,1,1,2,3,agh9ifb2mw3ivjusgedj7c3fe,1,54.9,81.8,2025-01-26T20:03:26.782Z,2025-01-27T06:15:59Z,5478857283,141,48.8,5478857285,212,25.3,5479586977,178,,5478857279,56,Back,5478857281,140,43.8,5478857287,213,4.23,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507717,30,1,1,2,6,agh9ifb2mw3ivjusgedj7c3fe,1,42.4,39.7,2025-01-26T20:03:29.389Z,2025-01-27T06:16:03Z,5478857521,212,14.9,5479586993,178,,5478857517,140,39.4,5478857515,56,Back,5478857523,213,1.78,5478857519,141,61.1,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507737,31,1,1,2,12,agh9ifb2mw3ivjusgedj7c3fe,1,43.6,61.7,2025-01-26T20:03:35.397Z,2025-01-27T06:16:10Z,5478857647,140,45.6,5478857653,213,4.83,5479587017,178,,5478857649,141,35.8,5478857645,56,Back,5478857651,212,17.7,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769507755,32,1,1,2,15,agh9ifb2mw3ivjusgedj7c3fe,1,46.5,31.3,2025-01-26T20:03:37.994Z,2025-01-27T06:16:13Z,5478857733,56,Right,5478857735,140,53.2,5479587035,178,,5478857741,213,5.19,5478857739,212,15.4,5478857737,141,11.1,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
