id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,teamName
2739510457,6,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,0,23.8,88.1,2024-10-26T19:01:57.290Z,2024-10-27T08:08:30Z,5315936305,140,27,5317778421,178,,5315936317,236,,5315936303,56,Back,5315936309,212,3.4,5315936325,286,,5315936311,213,0,5315936307,141,88.1,4ftlhtels58lyzfluwofzwxuy,Pedri,5315936319,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510455,6,74,1,0,11,3kq9cckrnlogidldtdie2fkbl,1,74.3,9.7,2024-10-26T19:01:57.417Z,2024-10-27T08:08:32Z,5315936295,56,Right,5315936365,233,6,5315936297,285,,5317778479,178,,,,,,,,,,,,,,1i9wi65k2foqwudeqiyih87hl,F. Valverde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510489,7,61,1,0,15,3kq9cckrnlogidldtdie2fkbl,1,98.3,0.3,2024-10-26T19:02:01.252Z,2024-10-27T08:09:01Z,5315936545,56,Right,5317779733,178,,,,,,,,,,,,,,,,,,,,1i9wi65k2foqwudeqiyih87hl,F. Valverde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510533,7,5,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,1,2.8,101.7,2024-10-26T19:02:01.402Z,2024-10-27T08:09:03Z,5315936813,347,,5315936811,56,Back,5315936821,233,8,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510505,8,5,1,0,15,3kq9cckrnlogidldtdie2fkbl,0,97.2,-1.7,2024-10-26T19:02:01.402Z,2024-10-27T08:09:04Z,5315936647,56,Right,5315936829,233,7,5315936649,347,,,,,,,,,,,,,,,,,1i9wi65k2foqwudeqiyih87hl,F. Valverde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510633,8,1,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,0,9.2,100,2024-10-26T19:02:20.524Z,2024-10-27T08:09:08Z,5315937401,212,17.4,5315937391,107,,5315937393,56,Back,5315937399,141,97.2,5315937403,213,6.12,5315937395,140,25.6,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510683,9,1,1,0,35,3kq9cckrnlogidldtdie2fkbl,1,71,5.7,2024-10-26T19:02:22.034Z,2024-10-27T08:09:11Z,5315937697,141,14.8,5315937691,3,,5315937701,213,0.23,5315937695,140,96.6,5317780277,388,,5315937699,212,27.6,5315937693,56,Right,,,,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510711,11,1,1,0,39,3kq9cckrnlogidldtdie2fkbl,0,98.2,14.8,2024-10-26T19:02:25.474Z,2024-10-27T08:09:22Z,5315937829,140,98.4,5315937831,141,17.8,5317519897,224,,5315937825,56,Right,5317519899,20,,5315937835,213,1.47,5317780803,178,,5315937821,2,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,5315937833,212,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510687,10,49,1,0,39,3kq9cckrnlogidldtdie2fkbl,1,97.7,15,2024-10-26T19:02:25.545Z,2024-10-27T08:09:17Z,,,,,,,,,,,,,,,,,,,,,,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739511447,23,61,1,0,39,agh9ifb2mw3ivjusgedj7c3fe,1,2.1,80.6,2024-10-26T19:02:25.668Z,2024-10-27T08:09:26Z,5315942045,56,Back,5317780991,389,,,,,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
