id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,teamName
2714309673,5,1,1,0,10,3budh3j9xivsid3ptm8ptpy4k,1,68.3,90.1,2024-08-27T19:31:09.547Z,2024-08-28T05:16:57Z,5178033043,56,Left,5178873983,178,,5178033045,140,70.3,5178033053,213,5.16,5178033049,212,4.9,5178033047,141,83.6,,,,,,,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714309685,6,1,1,0,12,3budh3j9xivsid3ptm8ptpy4k,1,71.6,85.9,2024-08-27T19:31:11.547Z,2024-08-28T05:16:59Z,5178033133,141,91.6,5178033131,140,82.5,5178033129,56,Left,5178873995,178,,5178033135,212,12.1,5178033137,213,0.33,,,,,,,8onruhr4es313aq52xsl7nxlh,Óscar Valentín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714309705,7,1,1,0,14,3budh3j9xivsid3ptm8ptpy4k,0,82.7,91.6,2024-08-27T19:31:13.600Z,2024-08-28T05:17:01Z,5178033221,2,,5178033235,212,28.2,5178033237,213,4.96,5178758935,72,,5178874003,178,,5178758933,386,,5178033225,56,Center,5178033229,140,89.2,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,5178758931,225,5178033233,141,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714309721,3,12,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,1,11.6,36.9,2024-08-27T19:31:14.454Z,2024-08-28T05:17:04Z,5178033315,140,21.5,5178033319,212,12.7,5178033317,141,26.2,5178874019,178,,5178033313,56,Back,5178033321,213,5.67,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714309733,4,49,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,1,21.5,26.2,2024-08-27T19:31:15.035Z,2024-08-28T05:17:06Z,,,,,,,,,,,,,,,,,,,,,,,,,4et6r42e7q2ojgaumwnua2kgk,Marc Bernal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714309771,5,1,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,21.5,26.2,2024-08-27T19:31:16.081Z,2024-08-28T05:17:09Z,5178033571,213,5.53,5178033569,212,17.4,5178033567,141,8.7,5178033565,140,33.6,5178033563,56,Back,5178874043,178,,5178033561,155,,,,,4et6r42e7q2ojgaumwnua2kgk,Marc Bernal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714309827,6,1,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,0,39.6,13.4,2024-08-27T19:31:18.676Z,2024-08-28T05:17:29Z,5178033917,1,,5178033915,213,0.91,5178874105,178,,5178033911,141,75.5,5178033905,196,,5178033909,140,71.1,5178033907,56,Center,5178033913,212,53.6,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714309939,9,49,1,0,24,3budh3j9xivsid3ptm8ptpy4k,1,26.2,21.7,2024-08-27T19:31:23.262Z,2024-08-28T05:17:44Z,,,,,,,,,,,,,,,,,,,,,,,,,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714309865,8,1,1,0,24,3budh3j9xivsid3ptm8ptpy4k,0,30.8,22.7,2024-08-27T19:31:23.314Z,2024-08-28T05:17:47Z,5178034069,56,Back,5178034073,141,20.1,5178034153,236,,5178034161,286,,5178034155,233,7,5178034079,1,,5178874189,178,,5178034075,212,3.4,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,5178034067,157,5178034071,140,33.6,5178034077,213,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714309873,7,74,1,0,24,agh9ifb2mw3ivjusgedj7c3fe,1,68.2,76.8,2024-08-27T19:31:23.371Z,2024-08-28T05:17:49Z,5178034115,56,Center,5178034117,285,,5178034243,233,8,5178874203,178,,,,,,,,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310007,10,1,1,0,27,3budh3j9xivsid3ptm8ptpy4k,1,16.6,15.3,2024-08-27T19:31:26.413Z,2024-08-28T05:17:51Z,5178034863,56,Back,5178034871,213,2.3,5178874225,178,,5178034865,140,10.6,5178034869,212,9.5,5178034867,141,25.7,,,,,,,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310033,11,1,1,0,29,3budh3j9xivsid3ptm8ptpy4k,1,11.5,24,2024-08-27T19:31:28.612Z,2024-08-28T05:18:04Z,5178035013,56,Back,5178035023,141,6.7,5178035031,213,4.97,5178874235,178,,5178035027,212,12.2,5178035017,140,14.4,,,,,,,bpfp895223p7w0px2ui3nb2l1,I. Balliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
